action	sys	userno	topic	count
select_poi	vsn	32	40021	3
select_poi	vsn	33	40048	7
select_poi	vsn	35	40009	1
select_poi	vsn	36	40021	12
select_poi_from_combo	vse	03	40021	47
select_poi_from_combo	vse	04	40021	32
select_poi_from_combo	vse	05	40048	9
select_poi_from_combo	vse	06	40009	4
select_poi_from_combo	vse	07	40009	9
select_poi_from_combo	vse	08	40021	19
select_poi_from_combo	vse	09	40048	12
select_poi_from_combo	vse	11	40009	43
select_poi_from_combo	vse	12	40021	9
select_poi_from_combo	vse	13	40021	14
select_poi_from_combo	vse	14	40048	23
select_poi_from_combo	vse	15	40009	17
select_poi_from_combo	vse	16	40009	6
select_poi_from_combo	vse	17	40021	12
select_poi_from_combo	vse	18	40048	4
select_poi_from_combo	vse	19	40048	16
select_poi_from_combo	vse	20	40009	24
select_poi_from_combo	vse	21	40021	6
select_poi_from_combo	vse	22	40021	19
select_poi_from_combo	vse	23	40048	13
select_poi_from_combo	vse	24	40009	17
select_poi_from_combo	vse	25	40009	8
select_poi_from_combo	vse	26	40021	30
select_poi_from_combo	vse	27	40048	12
select_poi_from_combo	vse	28	40048	12
select_poi_from_combo	vse	30	40021	12
select_poi_from_combo	vse	31	40021	19
select_poi_from_combo	vse	32	40048	16
select_poi_from_combo	vse	33	40009	2
select_poi_from_combo	vse	34	40009	3
select_poi_from_combo	vse	35	40021	14
select_poi_from_combo	vse	36	40048	11
select_poi_from_combo	vse	37	40048	15
select_poi_from_combo	vsn	03	40009	32
select_poi_from_combo	vsn	04	40009	20
select_poi_from_combo	vsn	05	40021	7
select_poi_from_combo	vsn	06	40048	8
select_poi_from_combo	vsn	07	40048	12
select_poi_from_combo	vsn	08	40009	16
select_poi_from_combo	vsn	09	40021	23
select_poi_from_combo	vsn	11	40048	30
select_poi_from_combo	vsn	12	40009	18
select_poi_from_combo	vsn	13	40009	5
select_poi_from_combo	vsn	14	40021	29
select_poi_from_combo	vsn	15	40048	13
select_poi_from_combo	vsn	16	40048	14
select_poi_from_combo	vsn	17	40009	11
select_poi_from_combo	vsn	18	40021	5
select_poi_from_combo	vsn	19	40021	21
select_poi_from_combo	vsn	20	40048	22
select_poi_from_combo	vsn	21	40009	8
select_poi_from_combo	vsn	22	40009	8
select_poi_from_combo	vsn	23	40021	14
select_poi_from_combo	vsn	24	40048	14
select_poi_from_combo	vsn	25	40048	3
select_poi_from_combo	vsn	26	40009	19
select_poi_from_combo	vsn	27	40021	27
select_poi_from_combo	vsn	28	40021	14
select_poi_from_combo	vsn	30	40009	10
select_poi_from_combo	vsn	31	40009	20
select_poi_from_combo	vsn	32	40021	17
select_poi_from_combo	vsn	33	40048	16
select_poi_from_combo	vsn	34	40048	11
select_poi_from_combo	vsn	35	40009	7
select_poi_from_combo	vsn	36	40021	30
select_poi_from_combo	vsn	37	40021	8
select_similar	vse	03	40021	10
select_similar	vse	15	40009	3
select_similar	vse	22	40021	5
select_similar	vse	27	40048	1
select_similar	vse	28	40048	1
select_similar	vsn	03	40009	7
select_similar	vsn	15	40048	8
select_similar	vsn	22	40009	3
select_similar	vsn	27	40021	5
select_similar	vsn	28	40021	1
simil_off	vse	15	40009	1
simil_off	vse	17	40021	1
simil_off	vse	19	40048	1
simil_off	vse	22	40021	1
simil_off	vse	23	40048	1
simil_off	vse	35	40021	2
simil_off	vsn	09	40021	1
simil_off	vsn	19	40021	1
simil_on	vse	04	40021	1
simil_on	vse	08	40021	1
simil_on	vse	09	40048	1
simil_on	vse	13	40021	1
simil_on	vse	15	40009	2
simil_on	vse	16	40009	1
simil_on	vse	17	40021	2
simil_on	vse	19	40048	1
simil_on	vse	22	40021	1
simil_on	vse	23	40048	1
simil_on	vse	28	40048	1
simil_on	vse	30	40021	1
simil_on	vse	31	40021	1
simil_on	vse	32	40048	1
simil_on	vse	34	40009	1
simil_on	vse	35	40021	2
simil_on	vse	36	40048	1
simil_on	vse	37	40048	1
simil_on	vsn	08	40009	1
simil_on	vsn	09	40021	2
simil_on	vsn	13	40009	1
simil_on	vsn	14	40021	1
simil_on	vsn	15	40048	1
simil_on	vsn	16	40048	1
simil_on	vsn	19	40021	2
simil_on	vsn	20	40048	1
simil_on	vsn	23	40021	1
simil_on	vsn	28	40021	1
simil_on	vsn	30	40009	1
simil_on	vsn	31	40009	2
simil_on	vsn	32	40021	1
simil_on	vsn	35	40009	1
simil_on	vsn	36	40021	1
simil_on	vsn	37	40021	1
view_by_mouseover	vse	03	40021	422
view_by_mouseover	vse	04	40021	327
view_by_mouseover	vse	05	40048	201
view_by_mouseover	vse	06	40009	40
view_by_mouseover	vse	07	40009	79
view_by_mouseover	vse	08	40021	496
view_by_mouseover	vse	09	40048	238
view_by_mouseover	vse	11	40009	176
view_by_mouseover	vse	12	40021	233
view_by_mouseover	vse	13	40021	232
view_by_mouseover	vse	14	40048	364
view_by_mouseover	vse	15	40009	395
view_by_mouseover	vse	16	40009	87
view_by_mouseover	vse	17	40021	448
view_by_mouseover	vse	18	40048	141
view_by_mouseover	vse	19	40048	247
view_by_mouseover	vse	20	40009	192
view_by_mouseover	vse	21	40021	217
view_by_mouseover	vse	22	40021	203
view_by_mouseover	vse	23	40048	214
view_by_mouseover	vse	24	40009	310
view_by_mouseover	vse	25	40009	458
view_by_mouseover	vse	26	40021	623
view_by_mouseover	vse	27	40048	318
view_by_mouseover	vsn	03	40009	802
view_by_mouseover	vsn	04	40009	236
view_by_mouseover	vsn	05	40021	182
view_by_mouseover	vsn	06	40048	353
view_by_mouseover	vsn	07	40048	187
view_by_mouseover	vsn	08	40009	309
view_by_mouseover	vsn	09	40021	193
view_by_mouseover	vsn	11	40048	159
view_by_mouseover	vsn	12	40009	301
view_by_mouseover	vsn	13	40009	70
view_by_mouseover	vsn	14	40021	600
view_by_mouseover	vsn	15	40048	274
view_by_mouseover	vsn	16	40048	318
view_by_mouseover	vsn	17	40009	384
view_by_mouseover	vsn	18	40021	293
view_by_mouseover	vsn	19	40021	510
view_by_mouseover	vsn	20	40048	79
view_by_mouseover	vsn	21	40009	545
view_by_mouseover	vsn	22	40009	222
view_by_mouseover	vsn	23	40021	150
view_by_mouseover	vsn	24	40048	222
view_by_mouseover	vsn	25	40048	69
view_by_mouseover	vsn	26	40009	278
view_by_mouseover	vsn	27	40021	559
view_by_mouseover_invis	vse	28	40048	35
view_by_mouseover_invis	vse	30	40021	82
view_by_mouseover_invis	vse	31	40021	141
view_by_mouseover_invis	vse	32	40048	114
view_by_mouseover_invis	vse	33	40009	20
view_by_mouseover_invis	vse	34	40009	136
view_by_mouseover_invis	vse	35	40021	124
view_by_mouseover_invis	vse	36	40048	43
view_by_mouseover_invis	vse	37	40048	71
view_by_mouseover_invis	vsn	28	40021	131
view_by_mouseover_invis	vsn	30	40009	59
view_by_mouseover_invis	vsn	31	40009	118
view_by_mouseover_invis	vsn	32	40021	132
view_by_mouseover_invis	vsn	33	40048	212
view_by_mouseover_invis	vsn	34	40048	122
view_by_mouseover_invis	vsn	35	40009	97
view_by_mouseover_invis	vsn	36	40021	105
view_by_mouseover_invis	vsn	37	40021	44
view_vibe_selection	vse	13	40021	7
view_vibe_selection	vse	14	40048	10
view_vibe_selection	vse	16	40009	4
view_vibe_selection	vse	17	40021	5
view_vibe_selection	vse	21	40021	7
view_vibe_selection	vse	22	40021	3
view_vibe_selection	vse	28	40048	10
view_vibe_selection	vse	30	40021	29
view_vibe_selection	vse	31	40021	47
view_vibe_selection	vse	32	40048	43
view_vibe_selection	vse	33	40009	8
view_vibe_selection	vse	34	40009	8
view_vibe_selection	vse	35	40021	17
view_vibe_selection	vse	36	40048	14
view_vibe_selection	vse	37	40048	26
view_vibe_selection	vsn	03	40009	11
view_vibe_selection	vsn	13	40009	4
view_vibe_selection	vsn	14	40021	5
view_vibe_selection	vsn	15	40048	2
view_vibe_selection	vsn	16	40048	3
view_vibe_selection	vsn	17	40009	3
view_vibe_selection	vsn	21	40009	1
view_vibe_selection	vsn	22	40009	1
view_vibe_selection	vsn	28	40021	25
view_vibe_selection	vsn	30	40009	21
view_vibe_selection	vsn	31	40009	52
view_vibe_selection	vsn	32	40021	45
view_vibe_selection	vsn	33	40048	29
view_vibe_selection	vsn	34	40048	16
view_vibe_selection	vsn	35	40009	14
view_vibe_selection	vsn	36	40021	36
view_vibe_selection	vsn	37	40021	17
